Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
W0000 00:00:1767906674.816057 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1767906674.999445 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
======================================================================
PERFORMANCE BASELINE TEST - Raspberry Pi
Story 8.2: MediaPipe Tasks API (0.10.18)
======================================================================
Duration: 300s (5 minutes)
Started: 2026-01-08 21:11:05

Importing dependencies...
✅ Imports completed in 8.28s

Creating Flask app...
Initializing CV components...
✅ CV components initialized in 0.62s

Running performance test for 300s...
Target: 10 FPS = 3000 frames

Metrics captured every second:
  - Memory (RSS): Resident Set Size
  - CPU (%): Per-core average
  - FPS: Frames processed per second

[ 218s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   700 | Crashes: 0
[ 219s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   704 | Crashes: 0
[ 220s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   708 | Crashes: 0
[ 222s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   712 | Crashes: 0
[ 223s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   716 | Crashes: 0
[ 224s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   720 | Crashes: 0
[ 225s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   724 | Crashes: 0
[ 226s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   727 | Crashes: 0
[ 228s] Memory:  241.0 MB | CPU:   9.9% | FPS:  3.20 | Frames:   731 | Crashes: 0
[ 229s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   735 | Crashes: 0
[ 230s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   738 | Crashes: 0
[ 231s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   742 | Crashes: 0
[ 232s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   746 | Crashes: 0
[ 233s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   749 | Crashes: 0
[ 234s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   752 | Crashes: 0
[ 236s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   756 | Crashes: 0
[ 237s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.20 | Frames:   760 | Crashes: 0
